method,austin,chicago,kitsap,tyrol-w,vienna,overall
fcn_acc
fcn_iou
mlp_acc,0.93700597,0.907628625,0.97269519625,0.97860757375,0.91335797375,0.9414088116142857
mlp_iou,0.6360688005209563,0.6763009121606917,0.5467140056916396,0.6611370540404506,0.7383696641858479,0.6813992218924247
maskrcnn_acc,0.94088417875,0.85558394,0.97313912,0.98135521875,0.8740106775,0.9226687747
maskrcnn_iou,0.6562634579123557,0.4807290831612301,0.5437768674892073,0.7083577731904483,0.643978338526998,0.5858851474604774
