method,austin1,austin2,austin3,austin4,austin5,austin6,austin7,austin8,austin9,austin10,austin11,austin12,austin13,austin14,austin15,austin16,austin17,austin18,austin19,austin20,austin21,austin22,austin23,austin24,austin25,austin26,austin27,austin28,austin29,austin30,austin31,austin32,austin33,austin34,austin35,austin36,chicago1,chicago2,chicago3,chicago4,chicago5,chicago6,chicago7,chicago8,chicago9,chicago10,chicago11,chicago12,chicago13,chicago14,chicago15,chicago16,chicago17,chicago18,chicago19,chicago20,chicago21,chicago22,chicago23,chicago24,chicago25,chicago26,chicago27,chicago28,chicago29,chicago30,chicago31,chicago32,chicago33,chicago34,chicago35,chicago36,kitsap1,kitsap2,kitsap3,kitsap4,kitsap5,kitsap6,kitsap7,kitsap8,kitsap9,kitsap10,kitsap11,kitsap12,kitsap13,kitsap14,kitsap15,kitsap16,kitsap17,kitsap18,kitsap19,kitsap20,kitsap21,kitsap22,kitsap23,kitsap24,kitsap25,kitsap26,kitsap27,kitsap28,kitsap29,kitsap30,kitsap31,kitsap32,kitsap33,kitsap34,kitsap35,kitsap36,tyrol-w1,tyrol-w2,tyrol-w3,tyrol-w4,tyrol-w5,tyrol-w6,tyrol-w7,tyrol-w8,tyrol-w9,tyrol-w10,tyrol-w11,tyrol-w12,tyrol-w13,tyrol-w14,tyrol-w15,tyrol-w16,tyrol-w17,tyrol-w18,tyrol-w19,tyrol-w20,tyrol-w21,tyrol-w22,tyrol-w23,tyrol-w24,tyrol-w25,tyrol-w26,tyrol-w27,tyrol-w28,tyrol-w29,tyrol-w30,tyrol-w31,tyrol-w32,tyrol-w33,tyrol-w34,tyrol-w35,tyrol-w36,vienna1,vienna2,vienna3,vienna4,vienna5,vienna6,vienna7,vienna8,vienna9,vienna10,vienna11,vienna12,vienna13,vienna14,vienna15,vienna16,vienna17,vienna18,vienna19,vienna20,vienna21,vienna22,vienna23,vienna24,vienna25,vienna26,vienna27,vienna28,vienna29,vienna30,vienna31,vienna32,vienna33,vienna34,vienna35,vienna36
fcn_acc
fcn_iou
mlp_acc,0.9394086,0.9326736,0.92568224,0.95472924,0.95748332,0.95509828,0.94131004,0.92722452,0.91005024,0.95758984,0.93116788,0.90599168,0.9570348,0.93461916,0.91644516,0.90910456,0.90373312,0.88841972,0.95426368,0.92974572,0.94542624,0.90633624,0.90871196,0.90038704,0.96555096,0.95503472,0.94795788,0.94022324,0.9425076,0.91820532,0.97094808,0.97191624,0.97459368,0.94895684,0.9584744,0.94967888,0.92712216,0.85862308,0.89536188,0.91296608,0.92765848,0.88421032,0.92396944,0.88851236,0.92476164,0.92175256,0.92581488,0.905945,0.9243656,0.92558448,0.92246256,0.92371892,0.92536964,0.86710856,0.911034,0.91677268,0.90564584,0.92348632,0.91847732,0.88087068,0.87057964,0.89684328,0.92282796,0.90825264,0.88784756,0.91744944,0.92431492,0.92588896,0.91592892,0.89831592,0.84396996,0.88437552,0.99888024,0.99602508,0.97685456,0.98480536,0.98952864,0.9913146,0.9949648,0.99356384,0.97807828,0.98824004,0.94831988,0.9549818,0.98900964,0.98721264,0.98905292,0.98637836,0.97630896,0.94741616,0.92350612,0.98872176,0.99440908,0.9868442,0.97692568,0.96498264,0.93017892,0.89378864,0.9867278,0.98407304,0.97970944,0.958283,0.94866056,0.98274176,0.98646932,0.98497708,0.9833206,0.95755608,0.96862256,0.97922272,0.95380488,0.96394196,0.96721524,0.9730458,0.9816632,0.98290964,0.9932608,0.9925682,0.9864994,0.98637076,0.98786348,0.96999464,0.97886772,0.98847376,0.9768384,0.9620846,0.98862044,0.99723608,0.93800984,0.96939652,0.96802532,0.97201292,0.98558256,0.985533,0.99017436,0.98030264,0.93536196,0.96390504,0.97515684,0.98145172,0.99072216,0.99514408,0.98553248,0.98561876,0.93725396,0.9275928,0.88550628,0.91075196,0.93254652,0.94105536,0.90712984,0.87334976,0.8833786,0.90100628,0.90496612,0.93571916,0.9107602,0.88183468,0.86485348,0.88700036,0.89070792,0.9658738,0.92597196,0.88457016,0.86739116,0.89594112,0.90836992,0.91738512,0.95227052,0.90978032,0.91918376,0.8971226,0.93391636,0.9099166,0.92070092,0.9273338,0.95507024,0.92794972,0.94579852,0.94860028
mlp_iou,0.6362006075231423,0.6415121424886788,0.5750364592196537,0.6236245107699614,0.5664124086712868,0.531602380078112,0.7209081367245768,0.5999173616962886,0.5926375113604394,0.5502367054671328,0.6199168271326962,0.5519500363650922,0.7538461467948987,0.6635631304508196,0.5952860016689429,0.6133135712049226,0.6050586946026303,0.5879188662368349,0.663596078041398,0.6659452474583905,0.5695070773619079,0.6454100963282831,0.6198385172276109,0.6360980583754287,0.7364009718466862,0.7132112940662628,0.5585893619959227,0.6826653478533042,0.6547807477897043,0.6043618221667755,0.6780047321863597,0.670671706935185,0.7387139118948567,0.657312540617766,0.6849917283550532,0.6653135846139193,0.6013565656134685,0.626115291863332,0.5952245855348679,0.6127574715354189,0.6223433556588419,0.6214791976108305,0.6928912378472186,0.6592920115991691,0.6349685971058064,0.6459018209523285,0.6975367211883858,0.6517662896587676,0.6403675559749148,0.7008610831329842,0.7147553812360969,0.6785818903431996,0.7197209165378509,0.6467821347959816,0.6992273476940786,0.6465802148188851,0.6570541380600275,0.7088896288576452,0.7500899119469894,0.6611447518921446,0.6634632576853264,0.6210694439138497,0.7134008397575354,0.6988950657015104,0.7057581059451363,0.69052310575183,0.6165123326990267,0.6785212898251052,0.6741769964705997,0.6707981439043897,0.6684221889952662,0.7214512574005765,0.5343491134102931,0.6159245245098228,0.6328663763703999,0.21854993993054983,0.34200657530941153,0.5524253973619823,0.51326834813609,0.6636657225572475,0.44654084874582667,0.43193868008377967,0.5253428489870025,0.3809364817084306,0.4916567838238369,0.5809352022872094,0.5804932109911738,0.5629483891999004,0.6376344395220227,0.6167017766885977,0.5603155129418982,0.5856306011057454,0.5995708449598635,0.56341410317336,0.5368596331218046,0.5667549553508683,0.5493376618280058,0.48435059787571283,0.5483440210932959,0.5439135051424762,0.5806487880691776,0.5953464207892826,0.5966379318472519,0.5222722451176005,0.5585272713984423,0.542010955456266,0.5038231976354004,0.5570867094874034,0.5926698476840002,0.567193379483197,0.5958525542367176,0.5662253296794513,0.5634400721404417,0.5815599621956808,0.6360032936135817,0.6691607817629932,0.6531691952981864,0.6114644087220014,0.6114326962264021,0.6265699731268823,0.6054796194874835,0.6153997205737212,0.6402883918795993,0.5903028269440483,0.6698768309452843,0.6339760124803064,0.7372086320834018,0.7415467249169634,0.6905061367397175,0.6677873768347775,0.6433801321430642,0.7179222234764799,0.6763971262912746,0.678861366314251,0.718716112151245,0.7003356082481128,0.6592797427652733,0.6559684933700352,0.686804918907416,0.659139474316764,0.6456020743217123,0.6917612049440895,0.712709358979858,0.7296356901252968,0.6822176942630874,0.7580671568193085,0.7210787094254452,0.726555737467644,0.6996258720419685,0.577349918688927,0.7742761488247505,0.7558522481136369,0.7572772251263133,0.7764829423538679,0.7305483591935482,0.6817429800191863,0.7496657901770476,0.7662331650351204,0.7579865596438903,0.7706189459448224,0.7492641873299725,0.6023781205083415,0.7548929990051101,0.7482810777239676,0.756235291453304,0.7420966877680739,0.7347770004187758,0.6927606928285261,0.6577235420212215,0.7626261148613733,0.7479633417736172,0.7611762718729574,0.7293621325089271,0.7364829761790538,0.6882809086233429,0.674465624424338,0.6941085801197429,0.7171754427119398,0.634516111195774,0.7195010890402257
maskrcnn_acc,0.92722176,0.94429588,0.94387724,0.96515308,0.96853152,0.96057868,0.94583736,0.93918348,0.91392624,0.96166388,0.88677692,0.92289916,0.94084188,0.93932952,0.92658524,0.92236092,0.91566004,0.90037984,0.96419408,0.94194764,0.93228024,0.92088472,0.92348116,0.91188784,0.97147208,0.95792544,0.94966932,0.94803424,0.94621372,0.91911408,0.97073508,0.97531636,0.96992188,0.95476708,0.96168172,0.94421236,0.89571052,0.74142524,0.83393388,0.8629488,0.90121832,0.80459944,0.90065292,0.80488316,0.88057624,0.88654896,0.87466012,0.84461024,0.88536596,0.88437624,0.85968324,0.87596388,0.89033852,0.71841144,0.83933336,0.89820184,0.82904204,0.89026736,0.88341664,0.76066892,0.75756592,0.82646156,0.88528616,0.8701004,0.87074108,0.90377432,0.91079748,0.8788762,0.84713116,0.85338576,0.81323644,0.84851076,0.99920192,0.9974606,0.98640176,0.98612236,0.98912028,0.99376856,0.99675868,0.99507072,0.97943692,0.9872766,0.94519024,0.95579508,0.99221496,0.99133488,0.9926858,0.98766708,0.97708312,0.9326182,0.910905,0.98963672,0.99530464,0.9902322,0.98364212,0.97025752,0.91444616,0.86979128,0.99077932,0.98984344,0.98579356,0.96335604,0.95537572,0.98826328,0.9904308,0.98925904,0.9856604,0.96145348,0.97323528,0.97425016,0.96607056,0.97430936,0.98110492,0.98014904,0.9859302,0.986423,0.99469676,0.99413628,0.9890626,0.98932704,0.99030436,0.97015124,0.9795598,0.99021944,0.97962284,0.96665944,0.98823824,0.99557984,0.94470432,0.97145736,0.97419968,0.9745124,0.98600348,0.98268008,0.99156488,0.98265196,0.9464048,0.96752372,0.9797754,0.98422236,0.99041656,0.99591192,0.98340448,0.98676856,0.92658428,0.90031232,0.84946824,0.8861128,0.88584696,0.88772084,0.8642604,0.80385824,0.83230452,0.8482608,0.83792092,0.89795148,0.87410372,0.82520416,0.79588956,0.83859076,0.83656876,0.93442084,0.88252252,0.82560564,0.78087352,0.83208144,0.8683076,0.90886968,0.9374518,0.86795388,0.89047648,0.87449696,0.9070326,0.85920696,0.90696632,0.91275924,0.95349564,0.91418668,0.94218632,0.94096644
maskrcnn_iou,0.5971405252998325,0.6973702825037763,0.6692746250411619,0.7057504070038437,0.6749001718659668,0.5911145168778376,0.7401482809746767,0.6524870369447645,0.5935492035669021,0.5844416732934369,0.4974981217716841,0.6180973709336729,0.6884376791303279,0.6833818041844414,0.6361293533028748,0.6704101565816526,0.6488257517022841,0.622642447133663,0.7309958180522148,0.7162832059779362,0.5264925954422863,0.6925750104216761,0.6937927504134581,0.6715294475522442,0.7714199820263553,0.730361871930451,0.5525889751874692,0.7073148971919538,0.6653872655962466,0.6020542103400869,0.6703174244110647,0.695699642142294,0.7057157717636202,0.684791967766258,0.6929795238917842,0.6043204165684342,0.40990348600588955,0.19253171948824122,0.25562145115387425,0.316237474109051,0.44451309966315955,0.28642341541169086,0.5845367693466025,0.33538973456169685,0.3541734805654628,0.45518622423743577,0.4723783442379737,0.3655034225057129,0.4270277046308205,0.5249303607207019,0.4637529598982513,0.47512681728848566,0.5774004226092887,0.15551945041276263,0.42973412212711953,0.5618557268987915,0.32922824701582265,0.5922314396005726,0.626799779658799,0.23411780036219956,0.29699991068746295,0.3362924690203292,0.5516948034448196,0.5963146490561938,0.6547981692773251,0.6405822418216557,0.5378005273899338,0.47349445960718145,0.5158604643974379,0.5894393675404094,0.6280069792177062,0.6377626825542725,0.657582206356834,0.7417240635793705,0.7818754848284389,0.2954940502781952,0.3248733484413357,0.6837127902774564,0.6887667507806469,0.748024283170062,0.4601840349714749,0.4217235668303467,0.5038844003048576,0.43859781915717766,0.6410611073611372,0.7175704287785392,0.7216407901927682,0.609122499198146,0.6406960533272125,0.5068130875925744,0.4339400870421551,0.635252461970562,0.6626809314033983,0.682960395204061,0.6714968511021142,0.6311066967776248,0.48476999068954013,0.26636097040308454,0.6852885643254135,0.7024050069149809,0.6998138844562248,0.6301865176377124,0.6286615189099839,0.6622491628690254,0.6738247164048866,0.6631403055176074,0.5800725083314299,0.5886935685713457,0.6556327314573688,0.5617746687506467,0.707289938026917,0.6963175070900826,0.7522689680272958,0.7051737207683113,0.7233330134674043,0.7385007349791525,0.7324433681448969,0.6937218334945584,0.6855279728121172,0.7134828142734576,0.6809813609335064,0.6402359475265044,0.6668637649111232,0.6481488942866681,0.7114440964675721,0.6752240857721316,0.7300590292759503,0.6541540695672857,0.7184017495696252,0.6958592088382343,0.7223039274778793,0.7421168764731785,0.6945866424370015,0.6468502238392696,0.7547428310910139,0.7317761916512517,0.7176656018475595,0.6994931512122324,0.7454529252914417,0.7123365196191043,0.6615318978207371,0.7407133035320145,0.6745126374182433,0.7507719014316907,0.629809280660658,0.6832154761977397,0.6478777708277875,0.6678525769312474,0.5526889749604974,0.40855077209249013,0.6848827887737154,0.6490778240143404,0.6668986190043016,0.676604305997792,0.5994115112108568,0.5592411772236379,0.6649700539842598,0.6734625680187307,0.6600814097523168,0.6837314418395039,0.6476420852082636,0.4055076909688228,0.6318818236341451,0.6446276229122828,0.6217495190015532,0.6164301603606136,0.6394305773725879,0.6719702693009165,0.602206440892345,0.6734325290048908,0.6796017359925924,0.716118590520192,0.6428658136694676,0.6181243249037344,0.6424153699884015,0.6212699934187336,0.6885589843447587,0.6776839575528336,0.6093840241005729,0.6826899219839462
